50	2400.00	3.907
50	2600.00	3.909
50	2800.00	3.910
60	300.00	3.257
60	400.00	3.401
60	500.00	3.512
60	600.00	3.602
60	700.00	3.676
60	800.00	3.739
60	900.00	3.792
60	1000.00	3.832
60	1200.00	3.908
60	1400.00	3.959
60	1600.00	3.996
60	1800.00	4.023
60	2000.00	4.043
60	2500.00	4.071
60	3000.00	4.084
60	3500.00	4.090
60	4000.00	4.092
60	4500.00	4.093
60	5000.00	4.094
60	5500.00	4.094
70	500.00	3.512
70	600.00	3.603
70	700.00	3.680
70	800.00	3.746
70	900.00	3.803
70	1000.00	3.854
70	1200.00	3.937
70	1400.00	4.003
70	1600.00	4.054
70	1800.00	4.095
70	2000.00	4.127
70	2500.00	4.181
70	3000.00	4.211
70	3500.00	4.228
70	4000.00	4.237
70	4500.00	4.242
70	5000.00	4.245
70	5500.00	4.247
70	6000.00	4.247
70	6500.00	4.248
70	7000.00	4.248
70	7500.00	4.248
70	8000.00	4.248
80	600.00	3.603
80	700.00	3.680
80	800.00	3.747
80	900.00	3.805
80	1000.00	3.857
80	1200.00	3.946
80	1400.00	4.019
80	1500.00	4.051
80	1600.00	4.080
80	1800.00	4.130
80	2000.00	4.171
80	2500.00	4.248
80	3000.00	4.297
80	3500.00	4.328
80	4000.00	4.347
80	4500.00	4.360
80	5000.00	4.368
80	6000.00	4.376
80	7000.00	4.380
80	8000.00	4.381
80	9000.00	4.382
80	10000.00	4.382
80	11000.00	4.382
90	800.00	3.747
90	900.00	3.806
90	1000.00	3.858
90	1200.00	3.949
90	1300.00	3.988
90	1400.00	4.025
90	1500.00	4.058
90	1800.00	4.144
90	2000.00	4.192
90	2500.00	4.285
90	3000.00	4.349
90	3500.00	4.394
90	4000.00	4.426
90	4500.00	4.446
90	5000.00	4.464
90	6000.00	4.482
90	7000.00	4.491
90	8000.00	4.496
90	9000.00	4.498
90	10000.00	4.499
90	11000.00	4.499
90	12000.00	4.500
90	14000.00	4.500
100	1000	3.859
100	1200	3.949
100	1400	4.026
100	1600	4.092
100	1800	4.150
100	2000	4.200
100	2500	4.303
100	3000	4.379
100	3500	4.434
100	4000	4.478
100	4500	4.510
100	5000	4.534
100	5500	4.552
100	6000	4.565
100	6500	4.579
100	7000	4.583
100	7500	4.588
100	8000	4.593
100	9000	4.598
100	10000	4.601
100	12500	4.604
100	15000	4.605
200	1500	4.061
200	2000	4.205
200	2500	4.317
200	3000	4.498
200	3500	4.485
200	4000	4.552
200	5000	4.663
200	6000	4.754
200	7000	4.829
200	8000	4.834
200	9000	4.949
200	10000	4.996
200	12000	5.072
200	14000	5.129
200	16000	5.171
200	18000	5.203
200	20000	5.227
200	25000	5.264
200	30000	5.282
200	35000	5.29
200	40000	5.294
